ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essential,Full,Notes
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Windows.Configuration.Discovery,Discovery,Configuration for Tomcat 5.x application server on Windows,Discovers all Tomcat web application server configurations on Windows.,IntervalSeconds,int,14400,,,,
Microsoft.JEE.Tomcat.8,Microsoft.JEE.Tomcat.8.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 8.x web application server.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Tomcat.8,Microsoft.JEE.Tomcat.8.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 8.x web application server.,BaseURL,string,,,,,
Microsoft.JEE.Tomcat.8,Microsoft.JEE.Tomcat.8.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 8.x web application server.,Protocol,string,"$Target/Host/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Protocol$",,,,
Microsoft.JEE.Tomcat.8,Microsoft.JEE.Tomcat.8.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 8.x web application server.,ComputerName,string,"$Target/Host/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/HostName$",,,,
Microsoft.JEE.Tomcat.8,Microsoft.JEE.Tomcat.8.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 8.x web application server.,Port,string,"$Target/Host/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Port$",,,,
Microsoft.JEE.Tomcat.8,Microsoft.JEE.Tomcat.8.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 8.x web application server.,IntervalSeconds,int,900,1200,,,Updated interval 
Microsoft.JEE.Tomcat.Library,Microsoft.JEE.Tomcat.ConfigurationHealth.JmxStoreConnection.Monitor,UnitMonitor,JMX Store Configuration,The configuration health monitor for the JMX store connection of a Tomcat web application server configuration.,Enabled,bool,TRUE,FALSE,,,
Microsoft.JEE.Tomcat.Library,Microsoft.JEE.Tomcat.ConfigurationHealth.JmxStoreConnection.Monitor,UnitMonitor,JMX Store Configuration,The configuration health monitor for the JMX store connection of a Tomcat web application server configuration.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Tomcat.Library,Microsoft.JEE.Tomcat.ConfigurationHealth.JmxStoreConnection.Monitor,UnitMonitor,JMX Store Configuration,The configuration health monitor for the JMX store connection of a Tomcat web application server configuration.,Port,string,"$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Port$",,,,
