ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_DMP_Total_ISAPI_Requests_Received_12_Rule,Rule,Perf Collection: SMS Dmp Isapi - Total Messages Received,Perf Collection: DMP Total ISAPI Requests Received,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_DMP_Total_ISAPI_Requests_Received_12_Rule,Rule,Perf Collection: SMS Dmp Isapi - Total Messages Received,Perf Collection: DMP Total ISAPI Requests Received,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_DMP_Total_ISAPI_Requests_Received_12_Rule,Rule,Perf Collection: SMS Dmp Isapi - Total Messages Received,Perf Collection: DMP Total ISAPI Requests Received,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_DMP_Total_ISAPI_Requests_Received_12_Rule,Rule,Perf Collection: SMS Dmp Isapi - Total Messages Received,Perf Collection: DMP Total ISAPI Requests Received,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_statemsg.box_File_Copy_Rate_24_Rule,Rule,Perf Collection: SMS Outbox - Files Copied/min (statemsg.box),Perf Collection: Server Outbox statemsg.box File Copy Rate,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_statemsg.box_File_Copy_Rate_24_Rule,Rule,Perf Collection: SMS Outbox - Files Copied/min (statemsg.box),Perf Collection: Server Outbox statemsg.box File Copy Rate,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_statemsg.box_File_Copy_Rate_24_Rule,Rule,Perf Collection: SMS Outbox - Files Copied/min (statemsg.box),Perf Collection: Server Outbox statemsg.box File Copy Rate,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_statemsg.box_File_Copy_Rate_24_Rule,Rule,Perf Collection: SMS Outbox - Files Copied/min (statemsg.box),Perf Collection: Server Outbox statemsg.box File Copy Rate,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_DMP_Machine_Setting_Request_rate_12_Rule,Rule,Perf Collection: SMS Dmp Datastore - Machine Setting Requests/sec,Perf Collection: DMP Machine Setting Request Rate,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_DMP_Machine_Setting_Request_rate_12_Rule,Rule,Perf Collection: SMS Dmp Datastore - Machine Setting Requests/sec,Perf Collection: DMP Machine Setting Request Rate,Tolerance,double,5,,
