ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.PctCPUTime.Collection,Rule,System Center Orchestrator Runbook Policy Module % Processor Time Collection,This rule collects historical performance data for the % Processor Time metric for the Runbook Policy Module process on a Runbook Server.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.PctCPUTime.Collection,Rule,System Center Orchestrator Runbook Policy Module % Processor Time Collection,This rule collects historical performance data for the % Processor Time metric for the Runbook Policy Module process on a Runbook Server.,Tolerance,double,0,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.PctCPUTime.Collection,Rule,System Center Orchestrator Runbook Policy Module % Processor Time Collection,This rule collects historical performance data for the % Processor Time metric for the Runbook Policy Module process on a Runbook Server.,MaximumSampleSeparation,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.PctCPUTime.Collection,Rule,System Center Orchestrator Runbook Policy Module % Processor Time Collection,This rule collects historical performance data for the % Processor Time metric for the Runbook Policy Module process on a Runbook Server.,Frequency,int,600,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.MonitorService.Monitor,UnitMonitor,System Center Orchestrator Runbook Server Monitor,Monitors the health of the Windows service: System Center Orchestrator Runbook Server Monitor.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.MonitorService.Monitor,UnitMonitor,System Center Orchestrator Runbook Server Monitor,Monitors the health of the Windows service: System Center Orchestrator Runbook Server Monitor.,CheckStartupType,string,,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookService.Monitor,UnitMonitor,System Center Orchestrator Runbook Service,Monitors the health of the Windows service: System Center Orchestrator Runbook Service.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookService.Monitor,UnitMonitor,System Center Orchestrator Runbook Service,Monitors the health of the Windows service: System Center Orchestrator Runbook Service.,CheckStartupType,string,,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.ManagementService.Monitor,UnitMonitor,System Center Orchestrator Management Service,Monitors the health of the Windows service: System Center Orchestrator Management Service.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.ManagementService.Monitor,UnitMonitor,System Center Orchestrator Management Service,Monitors the health of the Windows service: System Center Orchestrator Management Service.,CheckStartupType,string,,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RemotingService.Monitor,UnitMonitor,System Center Orchestrator Remoting Service,Monitors the health of the Windows service: System Center Orchestrator Remoting Service.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RemotingService.Monitor,UnitMonitor,System Center Orchestrator Remoting Service,Monitors the health of the Windows service: System Center Orchestrator Remoting Service.,CheckStartupType,string,,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.WebSite.Discovery,Discovery,Discovery for System Center Orchestrator Web Site (IIS7),This discovery identifies instances of System Center Orchestrator Web Site on IIS7.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.WebSite.Discovery,Discovery,Discovery for System Center Orchestrator Web Site (IIS7),This discovery identifies instances of System Center Orchestrator Web Site on IIS7.,Interval,int,43200,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookTargetRole.Discovery,Discovery,Discovery for System Center Orchestrator Runbook Target Role,This discovery identifies instances of the System Center Runbook Target Role.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookTargetRole.Discovery,Discovery,Discovery for System Center Orchestrator Runbook Target Role,This discovery identifies instances of the System Center Runbook Target Role.,Frequency,int,43200,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.WebComponents.Discovery,Discovery,Discovery for System Center Orchestrator Web Components,This discovery identifies instances of the System Center Orchestrator Web Components.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.WebComponents.Discovery,Discovery,Discovery for System Center Orchestrator Web Components,This discovery identifies instances of the System Center Orchestrator Web Components.,Frequency,int,43200,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.WebSite.IIS10.Discovery,Discovery,Discovery for System Center Orchestrator Web Site (IIS10),This discovery identifies instances of System Center Orchestrator Web Site on IIS10.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.WebSite.IIS10.Discovery,Discovery,Discovery for System Center Orchestrator Web Site (IIS10),This discovery identifies instances of System Center Orchestrator Web Site on IIS10.,Interval,int,43200,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerRole.Discovery,Discovery,Discovery for System Center Orchestrator Runbook Server Role,This discovery identifies instances of the System Center Orchestrator Runbook Server Role.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookServerRole.Discovery,Discovery,Discovery for System Center Orchestrator Runbook Server Role,This discovery identifies instances of the System Center Orchestrator Runbook Server Role.,Frequency,int,43200,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.WebSite.IIS8.Discovery,Discovery,Discovery for System Center Orchestrator Web Site (IIS8),This discovery identifies instances of System Center Orchestrator Web Site on IIS8.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.WebSite.IIS8.Discovery,Discovery,Discovery for System Center Orchestrator Web Site (IIS8),This discovery identifies instances of System Center Orchestrator Web Site on IIS8.,Interval,int,43200,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.ManagementServerRole.Discovery,Discovery,Discovery for System Center Orchestrator Management Server Role,This discovery identifies instances of the System Center Orchestrator Management Server Role.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.ManagementServerRole.Discovery,Discovery,Discovery for System Center Orchestrator Management Server Role,This discovery identifies instances of the System Center Orchestrator Management Server Role.,Frequency,int,43200,
Microsoft.SystemCenter.Orchestrator.Library,Microsoft.SystemCenter.Orchestrator.PopulateWebComponentsGroup.Discovery,Discovery,Discovery for Orchestrator Web Components Group Population,This discovery populates the Orchestrator Web Components Group.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator.Library,Microsoft.SystemCenter.Orchestrator.PopulateRunbookTargetsGroup.Discovery,Discovery,Discovery for Orchestrator Runbook Targets Group Population,This discovery populates the Orchestrator Runbook Targets Group.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator.Library,Microsoft.SystemCenter.Orchestrator.PopulateComputersGroup.Discovery,Discovery,Discovery for Orchestrator Computers Group Population,This discovery populates the Orchestrator Computers Group.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator.Library,Microsoft.SystemCenter.Orchestrator.PopulateRolesGroup.Discovery,Discovery,Discovery for Orchestrator Components Group Population,This discovery populates the Orchestrator Components Group.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator.Library,Microsoft.SystemCenter.Orchestrator.PopulateManagementServersGroup.Discovery,Discovery,Discovery for Orchestrator Management Servers Group Population,This discovery populates the Orchestrator Management Servers Group.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator.Library,Microsoft.SystemCenter.Orchestrator.PopulateRunbookServersGroup.Discovery,Discovery,Discovery for Orchestrator Runbook Servers Group Population,This discovery populates the Orchestrator Runbook Servers Group.,Enabled,bool,TRUE,
