ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterSharedVolumeDiscovery,Discovery,Veeam Hyper-V Cluster Shared Volume discovery,Veeam Hyper-V Cluster Shared Volume discovery,Verbose,bool,FALSE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterSharedVolumeDiscovery,Discovery,Veeam Hyper-V Cluster Shared Volume discovery,Veeam Hyper-V Cluster Shared Volume discovery,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterSharedVolumeDiscovery,Discovery,Veeam Hyper-V Cluster Shared Volume discovery,Veeam Hyper-V Cluster Shared Volume discovery,TimeoutSeconds,int,300,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterSharedVolumeDiscovery,Discovery,Veeam Hyper-V Cluster Shared Volume discovery,Veeam Hyper-V Cluster Shared Volume discovery,IntervalSeconds,int,14400,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.StorageTopologyRoot.Group.DiscoveryRule,Discovery,Veeam Hyper-V Storage Topology Root Group Discovery,Discovers Hyper-V Storage Topology Root Group,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.vSwitch.Group.DiscoveryRule,Discovery,Veeam Hyper-V vSwitch Group Discovery,Discovers Hyper-V vSwitch Group,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.NetworkTopologyRoot.Group.DiscoveryRule,Discovery,Veeam Hyper-V Network Topology Root Group Discovery,Discovers Hyper-V Network Topology Root Group,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterDiskDiscovery,Discovery,Veeam Hyper-V Storage discovery,Veeam Hyper-V Storage discovery,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterDiskDiscovery,Discovery,Veeam Hyper-V Storage discovery,Veeam Hyper-V Storage discovery,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterDiskDiscovery,Discovery,Veeam Hyper-V Storage discovery,Veeam Hyper-V Storage discovery,IntervalSeconds,int,14400,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterDiskDiscovery,Discovery,Veeam Hyper-V Storage discovery,Veeam Hyper-V Storage discovery,TimeoutSeconds,int,1200,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterDiskDiscovery,Discovery,Veeam Hyper-V Storage discovery,Veeam Hyper-V Storage discovery,LocalStorEnabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterDiskDiscovery,Discovery,Veeam Hyper-V Storage discovery,Veeam Hyper-V Storage discovery,Verbose,bool,FALSE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.Integration.SDK.VMContainsWC.Discovery,Discovery,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.Integration.SDK.VMContainsWC.Discovery,Discovery,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,RemoveRelationship,bool,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.Integration.SDK.VMContainsWC.Discovery,Discovery,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,Verbose,bool,FALSE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.Integration.SDK.VMContainsWC.Discovery,Discovery,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,Timeout,int,82800,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.Integration.SDK.VMContainsWC.Discovery,Discovery,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,SyncTime,string,03:00,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.Integration.SDK.VMContainsWC.Discovery,Discovery,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,Create relationship between Hyper-V virtual machine and Ops Mgr Agent in VM,IntervalSeconds,int,86400,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VirtualMachineDiscovery,Discovery,Veeam Hyper-V Virtual Machine discovery,Discovers VMs into Server running Hyper-V,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VirtualMachineDiscovery,Discovery,Veeam Hyper-V Virtual Machine discovery,Discovers VMs into Server running Hyper-V,IntervalSeconds,int,14400,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VirtualMachineDiscovery,Discovery,Veeam Hyper-V Virtual Machine discovery,Discovers VMs into Server running Hyper-V,Verbose,bool,FALSE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VirtualMachineDiscovery,Discovery,Veeam Hyper-V Virtual Machine discovery,Discovers VMs into Server running Hyper-V,TimeoutSeconds,int,600,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.VirtualMachineDiscovery,Discovery,Veeam Hyper-V Virtual Machine discovery,Discovers VMs into Server running Hyper-V,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.SMBVolume.Group.DiscoveryRule,Discovery,Veeam Hyper-V SMB Volumes Group Discovery,Discovers Hyper-V SMB Volumes Group,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.Storage.Group.DiscoveryRule,Discovery,Veeam Hyper-V Cluster Shared Volumes Group Discovery,Discovers Hyper-V Cluster Shared Volumes Group,Enabled,bool,TRUE,,
