ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Processor.PercentDPCTime.Collection,Rule,Processor % DPC Time,Collects the performance counter Processor\% DPC Time,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Processor.PercentDPCTime.Collection,Rule,Processor % DPC Time,Collects the performance counter Processor\% DPC Time,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.ServiceMisconfigured.Alert.MissionCritical,Rule,Service Misconfigured Alert,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.ServiceMisconfigured.Alert.MissionCritical,Rule,Service Misconfigured Alert,,Severity,int,2,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.ServiceMisconfigured.Alert.MissionCritical,Rule,Service Misconfigured Alert,,Priority,int,1,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.FreeMB.Collection,Rule,Logical Disk Free Megabytes,The space in megabytes on the logical disk that is unallocated,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.FreeMB.Collection,Rule,Logical Disk Free Megabytes,The space in megabytes on the logical disk that is unallocated,Tolerance,double,100,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.FreeMB.Collection,Rule,Logical Disk Free Megabytes,The space in megabytes on the logical disk that is unallocated,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.FreeMB.Collection,Rule,Logical Disk Free Megabytes,The space in megabytes on the logical disk that is unallocated,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Computer.MemoryFailureFailureDetected.Rule,Rule,Memory Failure Detected Rule,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.LDMCantReadDisk.Alert,Rule,LDM - Can't Read Disk,Logical Disk Manager reports that the disk cannot be read.,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Computer.MemoryFailureTestFailed.Rule,Rule,Memory Failure Test Failed Rule,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Computer.DiskCorruptionFileSkipped.Rule,Rule,Disk Corruption File Skipped Rule,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.NTFSQuotaThresholdLimitReached.Collection.MissionCritical,Rule,NTFS Quota Threshold Limit Reached Collection,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Processor.PercentProcessorTime.Collection,Rule,Processor % Processor Time,Collects the performance counter Processor\% Processor Time,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Processor.PercentProcessorTime.Collection,Rule,Processor % Processor Time,Collects the performance counter Processor\% Processor Time,Tolerance,double,5,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Processor.PercentProcessorTime.Collection,Rule,Processor % Processor Time,Collects the performance counter Processor\% Processor Time,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Processor.PercentProcessorTime.Collection,Rule,Processor % Processor Time,Collects the performance counter Processor\% Processor Time,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.SystemProcessorQueueLength.Collection,Rule,System Processor Queue Length,Collection rule for the performance counter System\Processor Queue Length.,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.SystemProcessorQueueLength.Collection,Rule,System Processor Queue Length,Collection rule for the performance counter System\Processor Queue Length.,Tolerance,double,2,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.SystemProcessorQueueLength.Collection,Rule,System Processor Queue Length,Collection rule for the performance counter System\Processor Queue Length.,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.SystemProcessorQueueLength.Collection,Rule,System Processor Queue Length,Collection rule for the performance counter System\Processor Queue Length.,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.PhysicalDisk.DiskWritesPerSec.Collection,Rule,Physical Disk Writes per Second,Collects the performance counter PhysicalDisk\Disk Writes/sec.,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.PhysicalDisk.DiskWritesPerSec.Collection,Rule,Physical Disk Writes per Second,Collects the performance counter PhysicalDisk\Disk Writes/sec.,Tolerance,double,10,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.PhysicalDisk.DiskWritesPerSec.Collection,Rule,Physical Disk Writes per Second,Collects the performance counter PhysicalDisk\Disk Writes/sec.,MaximumSampleSeparation,int,4,,
