ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Essentials,Full,Standard,Notes
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.SoftwareUpdateInstallationFailed.Alert,Rule,A Software Update Installation Failed,A failed software update installation was detected.,Priority,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.TotalPercentInterruptTime.Collection,Rule,Total Processor Information % Interrupt Time Windows Server 2012,Collects the performance counter Processor Information\% Interrupt Time,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.TotalPercentInterruptTime.Collection,Rule,Total Processor Information % Interrupt Time Windows Server 2012,Collects the performance counter Processor Information\% Interrupt Time,Tolerance,double,10,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.TotalPercentInterruptTime.Collection,Rule,Total Processor Information % Interrupt Time Windows Server 2012,Collects the performance counter Processor Information\% Interrupt Time,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.TotalPercentInterruptTime.Collection,Rule,Total Processor Information % Interrupt Time Windows Server 2012,Collects the performance counter Processor Information\% Interrupt Time,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AvgDiskQueueLength.Collection,Rule,Collection Rule for the Average Disk Queue Length Windows Server 2012,Collects the performance counter LogicalDisk\Avg Disk Queue Length,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AvgDiskQueueLength.Collection,Rule,Collection Rule for the Average Disk Queue Length Windows Server 2012,Collects the performance counter LogicalDisk\Avg Disk Queue Length,Tolerance,double,15,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AvgDiskQueueLength.Collection,Rule,Collection Rule for the Average Disk Queue Length Windows Server 2012,Collects the performance counter LogicalDisk\Avg Disk Queue Length,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AvgDiskQueueLength.Collection,Rule,Collection Rule for the Average Disk Queue Length Windows Server 2012,Collects the performance counter LogicalDisk\Avg Disk Queue Length,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.SoftwareUpdatesScheduledForInstallation.Collection,Rule,Collection Rule for Software Updates Scheduled Installation Events,Collection rule for events indicating new software updates are scheduled.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AverageDiskReadQueueLength.Collection,Rule,Average Logical Disk Read Queue Length Windows Server 2012,The average number of read requests that were queued for the selected disk during the sample interval.,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AverageDiskReadQueueLength.Collection,Rule,Average Logical Disk Read Queue Length Windows Server 2012,The average number of read requests that were queued for the selected disk during the sample interval.,Tolerance,double,15,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AverageDiskReadQueueLength.Collection,Rule,Average Logical Disk Read Queue Length Windows Server 2012,The average number of read requests that were queued for the selected disk during the sample interval.,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AverageDiskReadQueueLength.Collection,Rule,Average Logical Disk Read Queue Length Windows Server 2012,The average number of read requests that were queued for the selected disk during the sample interval.,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.NTFSDelayedWriteLost.Alert,Rule,NTFS - Delayed Write Lost,NT file system reports a delayed write was lost.,Enabled,bool,TRUE,,,,
