ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Test,QA,Production,Performance,Notes
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskWritesPerSecond.Collection,Rule,Disk Writes/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Writes/sec,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskReadBytesPerSecond.Collection,Rule,Disk Read Bytes/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Read Bytes/sec,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskReadBytesPerSecond.Collection,Rule,Disk Read Bytes/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Read Bytes/sec,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskReadBytesPerSecond.Collection,Rule,Disk Read Bytes/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Read Bytes/sec,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.NetworkAdapter.BytesReceivedPerSec.Collection,Rule,Byte Received/Sec (Universal Linux),Collection rule for the performance counter Network Adapter\Bytes Received/Sec,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.NetworkAdapter.BytesReceivedPerSec.Collection,Rule,Byte Received/Sec (Universal Linux),Collection rule for the performance counter Network Adapter\Bytes Received/Sec,NumSamples,int,1,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.NetworkAdapter.BytesReceivedPerSec.Collection,Rule,Byte Received/Sec (Universal Linux),Collection rule for the performance counter Network Adapter\Bytes Received/Sec,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PercentUsedSwapSpace.Collection,Rule,% Used Swap Space (Universal Linux),Collection rule for the performance counter Swap Space\% Used Swap Space,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PercentUsedSwapSpace.Collection,Rule,% Used Swap Space (Universal Linux),Collection rule for the performance counter Swap Space\% Used Swap Space,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PercentUsedSwapSpace.Collection,Rule,% Used Swap Space (Universal Linux),Collection rule for the performance counter Swap Space\% Used Swap Space,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.UsedMegabyte.Collection,Rule,Used Megabytes (Universal Linux),Collection rule for the performance counter Logical Disk\Used Megabytes,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.UsedMegabyte.Collection,Rule,Used Megabytes (Universal Linux),Collection rule for the performance counter Logical Disk\Used Megabytes,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.UsedMegabyte.Collection,Rule,Used Megabytes (Universal Linux),Collection rule for the performance counter Logical Disk\Used Megabytes,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentUserTime.Collection,Rule,Total Processor % User Time (Universal Linux),Collects the performance counter Processor\% User Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentUserTime.Collection,Rule,Total Processor % User Time (Universal Linux),Collects the performance counter Processor\% User Time,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentUserTime.Collection,Rule,Total Processor % User Time (Universal Linux),Collects the performance counter Processor\% User Time,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskBytesPerSecond.Collection,Rule,Logical Disk Bytes/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Bytes/sec,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskBytesPerSecond.Collection,Rule,Logical Disk Bytes/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Bytes/sec,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskBytesPerSecond.Collection,Rule,Logical Disk Bytes/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Bytes/sec,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.PercentUsedInodes.Collection,Rule,% Used Inodes (Universal Linux),Collection rule for the performance counter Logical Disk\% Used Inodes,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.PercentUsedInodes.Collection,Rule,% Used Inodes (Universal Linux),Collection rule for the performance counter Logical Disk\% Used Inodes,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.PercentUsedInodes.Collection,Rule,% Used Inodes (Universal Linux),Collection rule for the performance counter Logical Disk\% Used Inodes,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.PercentPrivilegedTime.Collection,Rule,Processor % Privileged Time (Universal Linux),Collects the performance counter Processor\% Privileged Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.PercentPrivilegedTime.Collection,Rule,Processor % Privileged Time (Universal Linux),Collects the performance counter Processor\% Privileged Time,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.PercentPrivilegedTime.Collection,Rule,Processor % Privileged Time (Universal Linux),Collects the performance counter Processor\% Privileged Time,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PageWritesPerSecond.Collection,Rule,Page Writes/sec (Universal Linux),Collection rule for the performance counter Memory\Page Writes/sec,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PageWritesPerSecond.Collection,Rule,Page Writes/sec (Universal Linux),Collection rule for the performance counter Memory\Page Writes/sec,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PageWritesPerSecond.Collection,Rule,Page Writes/sec (Universal Linux),Collection rule for the performance counter Memory\Page Writes/sec,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.NetworkAdapter.BytesSentPerSec.Collection,Rule,Byte Sent/Sec (Universal Linux),Collection rule for the performance counter Network Adapter\Bytes Sent/Sec,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.NetworkAdapter.BytesSentPerSec.Collection,Rule,Byte Sent/Sec (Universal Linux),Collection rule for the performance counter Network Adapter\Bytes Sent/Sec,NumSamples,int,1,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.NetworkAdapter.BytesSentPerSec.Collection,Rule,Byte Sent/Sec (Universal Linux),Collection rule for the performance counter Network Adapter\Bytes Sent/Sec,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentProcessorTime.Collection,Rule,Total Processor % Processor Time (Universal Linux),Collects the performance counter Processor\% Processor Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentProcessorTime.Collection,Rule,Total Processor % Processor Time (Universal Linux),Collects the performance counter Processor\% Processor Time,Interval,int,300,900,600,300,120,
