ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,AvailabilityOnly,Summary,SummaryOpsDBOnly,DefaultOpsDBOnly,DefaultDWHFull,Notes
NiCE.Oracle.X,NiCE.Oracle.X.UM.BrokenJobsCnt,UnitMonitor,Broken Jobs,This monitor counts the number of broken jobs in DBA_JOBS.,ProviderName,string,ORAMP_AsyncProvider2,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.LastBackup,UnitMonitor,Last Database Backup Completed,The monitor returns the time in hours since the last database backup completed successfully or with warnings.,Enabled,bool,TRUE,,FALSE,FALSE,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCachePinCnt,UnitMonitor,Sessions Library Cache Pin,This monitor counts number of sessions with high average waiting time for 'library cache pin' event.,MatchCount,int,1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCachePinCnt,UnitMonitor,Sessions Library Cache Pin,This monitor counts number of sessions with high average waiting time for 'library cache pin' event.,IntervalSeconds,int,900,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCachePinCnt,UnitMonitor,Sessions Library Cache Pin,This monitor counts number of sessions with high average waiting time for 'library cache pin' event.,WarningThreshold,double,0.5,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCachePinCnt,UnitMonitor,Sessions Library Cache Pin,This monitor counts number of sessions with high average waiting time for 'library cache pin' event.,SyncTime,string,00:06,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCachePinCnt,UnitMonitor,Sessions Library Cache Pin,This monitor counts number of sessions with high average waiting time for 'library cache pin' event.,ProviderName,string,ORAMP_AsyncProvider1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCachePinCnt,UnitMonitor,Sessions Library Cache Pin,This monitor counts number of sessions with high average waiting time for 'library cache pin' event.,CriticalThreshold,double,NaN,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCachePinCnt,UnitMonitor,Sessions Library Cache Pin,This monitor counts number of sessions with high average waiting time for 'library cache pin' event.,Tracing,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCachePinCnt,UnitMonitor,Sessions Library Cache Pin,This monitor counts number of sessions with high average waiting time for 'library cache pin' event.,ThresholdType,string,MAX,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.LastFullBackup,UnitMonitor,Last Full Backup Completed,The monitor returns the time in hours since the last full backup for the database completed successfully or with warnings.,Enabled,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SharedPoolFreePrct,UnitMonitor,Shared Pool Free Percent,This monitor provides percent free of the shared pool memory for a specific instance.,MatchCount,int,1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SharedPoolFreePrct,UnitMonitor,Shared Pool Free Percent,This monitor provides percent free of the shared pool memory for a specific instance.,CriticalThreshold,double,1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SharedPoolFreePrct,UnitMonitor,Shared Pool Free Percent,This monitor provides percent free of the shared pool memory for a specific instance.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SharedPoolFreePrct,UnitMonitor,Shared Pool Free Percent,This monitor provides percent free of the shared pool memory for a specific instance.,ProviderName,string,ORAMP_SyncProvider1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SharedPoolFreePrct,UnitMonitor,Shared Pool Free Percent,This monitor provides percent free of the shared pool memory for a specific instance.,WarningThreshold,double,5,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SharedPoolFreePrct,UnitMonitor,Shared Pool Free Percent,This monitor provides percent free of the shared pool memory for a specific instance.,IntervalSeconds,int,300,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SharedPoolFreePrct,UnitMonitor,Shared Pool Free Percent,This monitor provides percent free of the shared pool memory for a specific instance.,Tracing,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SharedPoolFreePrct,UnitMonitor,Shared Pool Free Percent,This monitor provides percent free of the shared pool memory for a specific instance.,ThresholdType,string,MIN,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.LastIncrBackup,UnitMonitor,Last Incremental Backup Completed,The monitor returns the time in hours since the last incremental backup for the database completed successfully or with warnings.,Enabled,bool,FALSE,,,,,,
