ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essential,Full,Notes
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesTotalSec.Collection,Rule,FTP Service\Bytes Total/sec Performance Rule in FTP Site,FTP Service\Bytes Total/sec Performance Rule in FTP Site,Enabled,bool,FALSE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesTotalSec.Collection,Rule,FTP Service\Bytes Total/sec Performance Rule in FTP Site,FTP Service\Bytes Total/sec Performance Rule in FTP Site,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesTotalSec.Collection,Rule,FTP Service\Bytes Total/sec Performance Rule in FTP Site,FTP Service\Bytes Total/sec Performance Rule in FTP Site,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesTotalSec.Collection,Rule,FTP Service\Bytes Total/sec Performance Rule in FTP Site,FTP Service\Bytes Total/sec Performance Rule in FTP Site,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceCurrentConnections.Collection,Rule,FTP Service\Current Connections Performance Rule in FTP Site,FTP Service\Current Connections Performance Rule in FTP Site,Enabled,bool,FALSE,,,TRUE,Additional performance collection for full configuration
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceCurrentConnections.Collection,Rule,FTP Service\Current Connections Performance Rule in FTP Site,FTP Service\Current Connections Performance Rule in FTP Site,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceCurrentConnections.Collection,Rule,FTP Service\Current Connections Performance Rule in FTP Site,FTP Service\Current Connections Performance Rule in FTP Site,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceCurrentConnections.Collection,Rule,FTP Service\Current Connections Performance Rule in FTP Site,FTP Service\Current Connections Performance Rule in FTP Site,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPSiteStatusCheck.Monitor,UnitMonitor,FTP Site availability,FTP Site availability,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPSiteStatusCheck.Monitor,UnitMonitor,FTP Site availability,FTP Site availability,PeriodInSeconds,int,60,,,,
