ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.VMMServerWinRMService.Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager WinRM Service targeted against VMM Server,Monitors the state of the Windows Remote Management (WS-Management) service that is targeted against the VMM management server,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.VMMServerWinRMService.Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager WinRM Service targeted against VMM Server,Monitors the state of the Windows Remote Management (WS-Management) service that is targeted against the VMM management server,CheckStartupType,string,,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HostNoOfVMsRunningMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Host Number Of VMs Running,Monitors whether the host has exceeded the supported maximum number of running virtual machines,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HostNoOfVMsRunningMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Host Number Of VMs Running,Monitors whether the host has exceeded the supported maximum number of running virtual machines,IntervalSeconds,int,7200,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HostNoOfVMsRunningMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Host Number Of VMs Running,Monitors whether the host has exceeded the supported maximum number of running virtual machines,ExpectedValue,int,384,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HostNoOfVMsRunningMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Host Number Of VMs Running,Monitors whether the host has exceeded the supported maximum number of running virtual machines,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.PortConnectionMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager External Switch Connection,Monitors the connectivity of the Hyper-V virtual network ports,Enabled,bool,FALSE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.VirtualNetworkAdapter.MacAddressAvailabilityMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Mac Address,Monitors whether the host-assigned MAC address pool is out of addresses,Enabled,bool,FALSE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.VMVGSInstalledMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager VM VGS Installed,Monitors the presence of Virtual Guest Services (VGS),Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.VMVGSInstalledMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager VM VGS Installed,Monitors the presence of Virtual Guest Services (VGS),TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.VMVGSInstalledMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager VM VGS Installed,Monitors the presence of Virtual Guest Services (VGS),IntervalSeconds,int,7200,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.OpsMgrConsoleMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Operations Manager Console,Monitors the presence of the Operations Manager Operations console,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.OpsMgrConsoleMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Operations Manager Console,Monitors the presence of the Operations Manager Operations console,Arguments,string,,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.OpsMgrConsoleMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Operations Manager Console,Monitors the presence of the Operations Manager Operations console,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.OpsMgrConsoleMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Operations Manager Console,Monitors the presence of the Operations Manager Operations console,SyncTime,string,,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.OpsMgrConsoleMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Operations Manager Console,Monitors the presence of the Operations Manager Operations console,IntervalSeconds,int,7200,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.UserRoleVMCountMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager UserRole VMCount,Monitors the user role VMCount quota,Enabled,bool,TRUE,
